"20-24","mean",0.035
"20-24","std",1.25
"25-29","mean",0.03
"25-29","std",1.2
"30-34","mean",0.025
"30-34","std",1.25
"35-39","mean",0.02
"35-39","std",1.2
"40-44","mean",0.015
"40-44","std",1.15
"45-49","mean",0.01
"45-49","std",1.1
"50-54","mean",0.005
"50-54","std",1.05
"55-59","std",1
"60-64","mean",0.005
"60-64","std",0.95
"65-69","mean",-0.01
"65-69","std",0.9
"70-74","mean",-0.015
"70-74","std",0.85
"75-79","mean",-0.02
"75-79","std",0.7
"80-84","mean",-0.025
"80-84","std",0.6
"85-89","mean",-0.03
"85-89","std",0.5
"90-94","mean",-0.03
"90-94","std",0.5
"95+","mean",-0.03
"95+","std",0.5
